[2026-02-09T23:42:03.689+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:42:20.586+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:42:21.235+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:44:16.981+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:44:17.423+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:44:25.707+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:44:26.144+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:46:25.782+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:46:26.168+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:48:26.294+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:48:26.346+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:50:26.191+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:50:26.671+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:52:26.210+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:52:26.162+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:53:30.176+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:53:30.291+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:53:30.612+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:53:30.807+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:54:26.268+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:54:26.745+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:55:07.352+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:55:07.649+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:56:26.872+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:56:27.322+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:58:27.173+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-09T23:58:27.692+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:00:27.374+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:00:27.386+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:02:27.497+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:02:27.551+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:04:27.736+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:04:28.114+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:07:36.912+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:07:36.929+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:07:37.128+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:07:37.148+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:07:37.716+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:07:38.133+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:08:02.153+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:08:02.180+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:08:31.661+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:08:31.704+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:10:31.751+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:10:31.916+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:11:44.935+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:11:45.137+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:12:18.208+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:12:18.419+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:17:41.261+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T00:17:41.554+08:00] Found 1 connected devices:  [ { udid: 'EP0110MZ0BB280273W', state: 'device' } ]
[2026-02-10T13:48:08.689+08:00] Found 0 connected devices:  []
[2026-02-10T13:48:08.805+08:00] Found 0 connected devices:  []
[2026-02-10T13:56:05.156+08:00] Found 0 connected devices:  []
[2026-02-10T13:56:05.313+08:00] Found 0 connected devices:  []
[2026-02-10T13:58:04.996+08:00] Found 0 connected devices:  []
[2026-02-10T13:58:05.277+08:00] Found 0 connected devices:  []
[2026-02-10T14:46:34.417+08:00] Found 0 connected devices:  []
[2026-02-10T14:46:34.715+08:00] Found 0 connected devices:  []
[2026-02-10T14:47:10.740+08:00] Found 0 connected devices:  []
[2026-02-10T14:47:11.322+08:00] Found 0 connected devices:  []
[2026-02-10T14:50:11.464+08:00] Found 0 connected devices:  []
[2026-02-10T14:50:11.496+08:00] Found 0 connected devices:  []
[2026-02-10T15:00:42.787+08:00] Found 0 connected devices:  []
